action_type,creature_id,samples,multiplier,q10,q50,q90
MELEE_ATTACK,747,28,1.364977666,1.184649821,1.524653425,3.386908026
MELEE_ATTACK,750,5,1.142960620,0.795869917,1.044021515,1.389025151
MELEE_ATTACK,751,7,1.175316533,0.597115614,1.193181818,1.982138784
MELEE_ATTACK,752,19,1.027389617,0.389285714,0.896715328,1.108789233
MELEE_ATTACK,753,11,0.847026651,0.439714286,0.471428571,0.634451827
MELEE_ATTACK,754,3,1.165728028,0.962011305,1.143318809,1.297693138
MELEE_ATTACK,755,4,1.112017129,0.532658410,0.865685719,1.040522238
MELEE_ATTACK,770,87,0.952307666,0.639351063,0.908443869,1.252362171
MELEE_ATTACK,771,10,1.083518719,0.753603297,0.930648780,1.377886723
MELEE_ATTACK,790,13,0.867901415,0.354986480,0.548790796,0.978978265
MELEE_ATTACK,791,2,1.111178611,0.656171123,0.668352203,0.680759412
MELEE_ATTACK,792,10,1.123567659,0.648674258,1.037705803,2.517794606
MELEE_ATTACK,793,10,1.145562067,0.697644629,1.099847392,1.298889937
MELEE_ATTACK,796,1,1.160460096,1.000000000,1.000000000,1.000000000
MELEE_ATTACK,817,10,1.003935090,0.578419581,0.740275640,1.150134637
MELEE_ATTACK,847,106,1.625139685,1.304776267,1.729327687,2.353060957
MELEE_ATTACK,848,183,1.812443862,1.370181057,1.901400560,2.475737793
MELEE_ATTACK,849,91,1.026446019,0.420000000,0.997500000,2.709137931
MELEE_ATTACK,850,52,0.976579321,0.191348667,0.911272400,2.120211641
MELEE_ATTACK,851,89,1.161669340,0.441879542,1.160000000,2.283398558
MELEE_ATTACK,852,3,1.123303575,0.823034381,0.860465116,1.277571220
MELEE_ATTACK,855,143,1.495888141,1.157043863,1.548350877,3.071521971
MELEE_ATTACK,856,3,1.150901954,0.890629568,1.036451613,1.223712984
MELEE_ATTACK,859,92,1.184894699,1.011967329,1.188350482,2.412944524
MELEE_ATTACK,860,9,1.178115214,1.100524033,1.198337002,2.633876908
MELEE_ATTACK,861,63,1.251971373,1.020272690,1.279479534,2.112261484
MELEE_ATTACK,895,2,1.040529162,0.206361776,0.324473774,0.510187652
MELEE_ATTACK,896,3,1.132612239,0.757095306,0.916666667,1.950905070
MELEE_ATTACK,897,14,0.986172454,0.567951329,0.773337000,1.671614949
MELEE_ATTACK,917,12,1.077312763,0.870815360,0.940030498,1.107684069
MELEE_ATTACK,918,19,1.144892446,0.875273135,1.119924812,2.251500624
MELEE_ATTACK,920,16,1.348764010,1.016518796,1.612607880,2.888638635
MELEE_ATTACK,922,2,1.287014876,2.650703184,3.363581968,4.268182016
MELEE_ATTACK,925,2,1.127175767,0.769791650,0.782151452,0.794709704
MELEE_ATTACK,926,6,1.084823718,0.268640500,0.845312591,1.106262490
MELEE_ATTACK,927,6,1.127883049,0.996918144,1.000626257,1.005071200
MELEE_ATTACK,928,21,1.162156019,0.740740741,1.155555556,1.651248164
MELEE_ATTACK,930,47,0.896030383,0.545681074,0.800123839,1.502591747
MELEE_ATTACK,932,18,1.472072130,0.762688808,1.901581991,4.007944457
MELEE_ATTACK,933,3,1.122851287,0.823861983,0.857812500,0.983261176
MELEE_ATTACK,936,4,1.127885443,0.577612629,0.942499957,1.402123187
MELEE_ATTACK,937,4,1.292015443,1.213850367,2.129597940,2.804113214
MELEE_ATTACK,938,7,1.085780235,0.643028567,0.878964029,0.981263039
MELEE_ATTACK,939,5,1.130458841,0.825597949,0.988159128,1.130323583
